pressure(bar),heat flux(kW/m2),mass fluxkg/(m2⋅s),sub cooling,fluid,channel dia(mm),flow/pool,d/dMax,t/tMax
1.11,173,495,6.5,water,13.33,flow,0.1549774073,0.004672897196
1.11,173,495,6.5,water,13.33,flow,0.2153508649,0.009345794393
1.11,173,495,6.5,water,13.33,flow,0.260160472,0.01401869159
1.11,173,495,6.5,water,13.33,flow,0.2969137362,0.01869158879
1.11,173,495,6.5,water,13.33,flow,0.3285177701,0.02336448598
1.11,173,495,6.5,water,13.33,flow,0.3564639406,0.02803738318
1.11,173,495,6.5,water,13.33,flow,0.3816394276,0.03271028037
1.11,173,495,6.5,water,13.33,flow,0.404621132,0.03738317757
1.11,173,495,6.5,water,13.33,flow,0.4258089866,0.04205607477
1.11,173,495,6.5,water,13.33,flow,0.4454961192,0.04672897196
1.11,173,495,6.5,water,13.33,flow,0.4639023759,0.05140186916
1.11,173,495,6.5,water,13.33,flow,0.4811992678,0.05607476636
1.11,173,495,6.5,water,13.33,flow,0.4975224446,0.06074766355
1.11,173,495,6.5,water,13.33,flow,0.5129833884,0.06542056075
1.11,173,495,6.5,water,13.33,flow,0.5276717527,0.07009345794
1.11,173,495,6.5,water,13.33,flow,0.5416639381,0.07476635514
1.11,173,495,6.5,water,13.33,flow,0.5550254304,0.07943925234
1.11,173,495,6.5,water,13.33,flow,0.5678092423,0.08411214953
1.11,173,495,6.5,water,13.33,flow,0.5800644882,0.08878504673
1.11,173,495,6.5,water,13.33,flow,0.5918317071,0.09345794393
1.11,173,495,6.5,water,13.33,flow,0.6031467605,0.09813084112
1.11,173,495,6.5,water,13.33,flow,0.6140423913,0.1028037383
1.11,173,495,6.5,water,13.33,flow,0.624546665,0.1074766355
1.11,173,495,6.5,water,13.33,flow,0.6346845288,0.1121495327
1.11,173,495,6.5,water,13.33,flow,0.6444785907,0.1168224299
1.11,173,495,6.5,water,13.33,flow,0.6539499001,0.1214953271
1.11,173,495,6.5,water,13.33,flow,0.6631156078,0.1261682243
1.11,173,495,6.5,water,13.33,flow,0.6719944243,0.1308411215
1.11,173,495,6.5,water,13.33,flow,0.6806003823,0.1355140187
1.11,173,495,6.5,water,13.33,flow,0.6889475145,0.1401869159
1.11,173,495,6.5,water,13.33,flow,0.697049074,0.1448598131
1.11,173,495,6.5,water,13.33,flow,0.7049167548,0.1495327103
1.11,173,495,6.5,water,13.33,flow,0.7125606915,0.1542056075
1.11,173,495,6.5,water,13.33,flow,0.7199917987,0.1588785047
1.11,173,495,6.5,water,13.33,flow,0.7272194313,0.1635514019
1.11,173,495,6.5,water,13.33,flow,0.7342521649,0.1682242991
1.11,173,495,6.5,water,13.33,flow,0.7410977956,0.1728971963
1.11,173,495,6.5,water,13.33,flow,0.7477641193,0.1775700935
1.11,173,495,6.5,water,13.33,flow,0.7542573726,0.1822429907
1.11,173,495,6.5,water,13.33,flow,0.7605853517,0.1869158879
1.11,173,495,6.5,water,13.33,flow,0.7667542932,0.191588785
1.11,173,495,6.5,water,13.33,flow,0.7727680952,0.1962616822
1.11,173,495,6.5,water,13.33,flow,0.7786345536,0.2009345794
1.11,173,495,6.5,water,13.33,flow,0.7843575663,0.2056074766
1.11,173,495,6.5,water,13.33,flow,0.789941811,0.2102803738
1.11,173,495,6.5,water,13.33,flow,0.7953927448,0.214953271
1.11,173,495,6.5,water,13.33,flow,0.8007142657,0.2196261682
1.11,173,495,6.5,water,13.33,flow,0.8059102716,0.2242990654
1.11,173,495,6.5,water,13.33,flow,0.8109854403,0.2289719626
1.11,173,495,6.5,water,13.33,flow,0.8159421103,0.2336448598
1.11,173,495,6.5,water,13.33,flow,0.8207849594,0.238317757
1.11,173,495,6.5,water,13.33,flow,0.8255163263,0.2429906542
1.11,173,495,6.5,water,13.33,flow,0.8301408886,0.2476635514
1.11,173,495,6.5,water,13.33,flow,0.8346602054,0.2523364486
1.11,173,495,6.5,water,13.33,flow,0.8390781747,0.2570093458
1.11,173,495,6.5,water,13.33,flow,0.8433971355,0.261682243
1.11,173,495,6.5,water,13.33,flow,0.8476194263,0.2663551402
1.11,173,495,6.5,water,13.33,flow,0.8517481656,0.2710280374
